grade,month,day,heat_id,nom_length,billets_qty,l1_length,l2_length,l3_length,l1_romb,l2_romb,l3_romb
SAE 3702,Marzo,28,35028241.0,5.42,105,5.42,5.41,5.41,3,8,2.0
SAE 3702,Marzo,28,35028242.0,5.42,99,5.42,,5.42,2,,2.0
SAE 3702,Marzo,28,35028243.0,5.42,101,5.42,,5.41,2,,2.0
SAE 3702,Marzo,28,35028244.0,5.42,99,5.42,,5.42,2,,2.0
SAE 3702,Marzo,28,35028245.0,5.42,99,5.42,,5.41,3,,2.0
SAE 1022,Marzo,31,35028262.0,5.13,94,5.13,5.14,5.13,10,12,6.0
SAE 3702,Marzo,31,35028248.0,5.42,95,5.42,5.43,5.42,9,7,7.0
SAE 3702,Marzo,31,35028249.0,5.42,96,5.41,5.42,5.42,4,2,2.0
SAE 1022,Marzo,31,35028250.0,5.13,102,5.13,5.14,5.13,10,10,7.0
SAE 1022,Marzo,31,35028263.0,5.13,112,5.13,5.14,5.13,10,10,7.0
SAE 1022,Marzo,31,35028264.0,5.13,96,5.14,5.13,5.13,10,10,5.0
SAE 1022,Marzo,31,35028265.0,5.13,100,5.14,5.13,5.13,10,10,6.0
SAE 3702,Marzo,31,35028266.0,5.42,98,5.41,5.41,5.42,3,2,2.0
SAE 3702,Marzo,31,35028267.0,5.42,100,5.41,5.41,5.42,2,2,2.0
SAE 3702,Marzo,31,35028268.0,5.42,99,5.41,5.41,5.42,3,3,4.0
SAE 3702,Marzo,31,35028253.0,5.42,97,5.41,5.41,5.42,3,2,3.0
SAE 3702,Marzo,31,35028254.0,5.42,101,5.41,5.41,5.42,3,2,3.0
SAE 3702,Marzo,31,35028255.0,5.42,99,5.42,5.41,5.41,2,2,2.0
SAE 3702,Marzo,31,35028256.0,5.42,99,5.42,5.41,5.42,2,3,3.0
SAE 3702,Marzo,31,35028257.0,5.42,100,5.42,5.4,5.42,2,2,3.0
SAE 3702,Abril,1,35028258.0,5.42,97,5.42,5.41,5.4,11,12,7.0
SAE 3702,Abril,1,35028296.0,5.42,106,5.41,,5.4,3,,6.0
SAE 3702,Abril,1,35028297.0,5.42,100,5.42,5.41,5.42,2,9,3.0
SAE 3702,Abril,1,35028298.0,5.42,97,5.41,5.42,5.42,,9,3.0
SAE 3702,Abril,1,35028299.0,5.42,93,5.41,5.42,5.42,2,7,3.0
SAE 3702,Abril,1,35028300.0,5.42,97,5.41,5.42,5.42,11,12,7.0
SAE 3702,Abril,1,35028301.0,5.42,105,5.41,5.42,5.42,11,11,3.0
SAE 3702,Abril,1,35028302.0,5.42,97,5.43,5.42,5.42,3,2,2.0
